sector,signal_type,analysis_days,holding_days,volume_threshold,price_threshold,hit_rate,avg_return,trade_count,tickers_count
TECH,SELL_STRONG,2,2,1.5,1.5,50.0,-1.466084382487719,24,9
TECH,BUY_STRONG,2,2,1.5,1.5,52.17391304347826,-0.41351301160266407,23,9
TECH,BUY_MODERATE,2,2,1.5,1.5,72.72727272727273,2.2884664864889497,11,9
NON_TECH,SELL_STRONG,2,2,1.5,1.5,36.84210526315789,-2.7838576912788184,57,20
NON_TECH,BUY_STRONG,2,2,1.5,1.5,54.32098765432099,1.911359674916399,81,20
NON_TECH,BUY_MODERATE,2,2,1.5,1.5,58.333333333333336,2.577080651539736,12,20
TECH,SELL_STRONG,2,2,1.5,2.0,56.25,-1.13090973978121,16,9
TECH,BUY_STRONG,2,2,1.5,2.0,42.857142857142854,1.5336972045167874,14,9
TECH,BUY_MODERATE,2,2,1.5,2.0,78.57142857142857,3.1573093695737495,14,9
NON_TECH,BUY_STRONG,2,2,1.5,2.0,52.17391304347826,1.7572079407925898,69,20
NON_TECH,SELL_STRONG,2,2,1.5,2.0,40.476190476190474,-2.343307202475662,42,20
NON_TECH,BUY_MODERATE,2,2,1.5,2.0,53.333333333333336,2.054911759513103,15,20
TECH,BUY_STRONG,2,2,1.5,2.5,50.0,1.9702956983294528,12,9
